,YEAR,STATE,EVENT_TYPE,TOTAL DEATHS,TOTAL INJURIES,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_CZ_STATE,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_ID,EVENT_ID
61,1956,MICHIGAN,Tornado,14,200,250000.0,0,,0.0,,F5,15.1,400,,,42.77,-85.98,42.93,-85.78,,10040547
62,1956,ALABAMA,Tornado,25,200,2500000.0,0,,0.0,,F4,21.3,200,,,33.5,-86.97,33.63,-86.63,,9976799
63,1957,MISSOURI,Tornado,8,49,25000000.0,0,,0.0,,F3,5.4,400,,,37.87,-90.62,37.88,-90.52,,10061495
64,1957,NORTH DAKOTA,Tornado,10,103,25000000.0,0,,0.0,,F5,27.4,500,,,46.9,-97.35,46.88,-96.77,,10087403
65,1957,OKLAHOMA,Tornado,10,20,250000.0,0,,0.0,,F4,0.0,880,,,35.4,-94.68,,,,10092661
66,1957,TEXAS,Tornado,10,200,2500000.0,0,,0.0,,F3,17.2,100,,,32.85,-96.83,33.1,-96.83,,10122245
67,1957,ILLINOIS,Tornado,11,180,2500000.0,0,,0.0,,F4,19.5,300,,,37.7,-89.48,37.83,-89.17,,10008665
68,1957,TEXAS,Tornado,21,80,250000.0,0,,0.0,,F4,17.0,300,,,34.47,-101.3,34.67,-101.05,,10118926
69,1957,MISSOURI,Tornado,37,176,2500000.0,0,,0.0,,F5,12.6,440,,,38.88,-94.6,38.98,-94.4,,10060413
70,1958,KANSAS,Tornado,15,5,2500000.0,0,,0.0,,F4,9.0,300,,,37.85,-97.02,37.83,-96.85,,10025566
71,1958,WISCONSIN,Tornado,20,54,25000000.0,0,,0.0,,F5,11.4,880,,,44.92,-92.15,44.95,-91.92,,10149031
72,1959,MISSOURI,Tornado,10,170,25000000.0,0,,0.0,,F4,16.2,200,,,38.53,-90.6,38.62,-90.32,,10062651
73,1959,MISSOURI,Tornado,11,175,25000000.0,0,,0.0,,F4,7.7,200,,,38.62,-90.32,38.67,-90.18,,10062654
74,1959,VIRGINIA,Tornado,11,4,250000.0,0,,0.0,,F3,0.8,200,,,38.05,-78.62,,,,10150862
75,1960,OKLAHOMA,Tornado,13,100,2500000.0,0,,0.0,,F4,17.2,200,,,34.88,-95.3,34.63,-95.3,,10093986
76,1961,TEXAS,Tornado,8,200,0.0,0,,0.0,,F4,1.0,100,,,29.32,-94.78,,,,10120340
77,1961,OKLAHOMA,Tornado,16,58,250000.0,0,,0.0,,F4,26.4,400,,,34.73,-95.03,34.95,-94.65,,10092640
78,1962,FLORIDA,Tornado,17,100,2500000.0,0,,0.0,,F3,6.9,440,,,30.62,-87.1,30.67,-87.0,,9987256
79,1964,LOUISIANA,Tornado,22,165,2500000.0,0,,0.0,,F4,1.5,67,,,29.6,-90.37,,,,10030801
